concept,cav_method,layer,technique,alpha,r1_accuracy,r2_similarity,r1_baseline,r2_baseline,delta_r1,delta_r2
tools,svm,6,subtraction,1.5,0.5666666666666667,0.9848487186431885,0.6333333333333333,0.9847470426559448,0.06666666666666665,-0.00010167598724364346
tools,svm,6,subtraction,3.5,0.5333333333333333,0.9849839496612549,0.6333333333333333,0.9847470426559448,0.09999999999999998,-0.00023690700531009412
tools,svm,6,subtraction,6.0,0.4666666666666667,0.985151834487915,0.6333333333333333,0.9847470426559448,0.16666666666666663,-0.0004047918319701749
tools,svm,6,projection,1.5,0.5,0.9840260910987854,0.6333333333333333,0.9847470426559448,0.1333333333333333,0.0007209515571594549
tools,svm,6,projection,3.5,0.3,0.9833630228042602,0.6333333333333333,0.9847470426559448,0.3333333333333333,0.0013840198516845703
tools,svm,6,projection,6.0,0.26666666666666666,0.9825122690200806,0.6333333333333333,0.9847470426559448,0.36666666666666664,0.002234773635864218
tools,svm,10,subtraction,1.5,0.6333333333333333,0.9847660636901856,0.6333333333333333,0.9847470426559448,0.0,-1.902103424078483e-05
tools,svm,10,subtraction,3.5,0.5666666666666667,0.9847938513755798,0.6333333333333333,0.9847470426559448,0.06666666666666665,-4.680871963502753e-05
tools,svm,10,subtraction,6.0,0.5666666666666667,0.98483238697052,0.6333333333333333,0.9847470426559448,0.06666666666666665,-8.534431457518643e-05
tools,svm,10,projection,1.5,0.5333333333333333,0.9848497772216797,0.6333333333333333,0.9847470426559448,0.09999999999999998,-0.00010273456573484108
tools,svm,10,projection,3.5,0.43333333333333335,0.9848785090446472,0.6333333333333333,0.9847470426559448,0.19999999999999996,-0.0001314663887024281
tools,svm,10,projection,6.0,0.36666666666666664,0.9846616005897522,0.6333333333333333,0.9847470426559448,0.26666666666666666,8.54420661926536e-05
